profile,origin,days,seed,completed_days,skipped_days,return_count,recovery_days,burnout,action_concentration,ending_band,xp,material
returning,burnout,30,2,14,16,7,1,0,0.25,returning,269.92,28.0
overload,burnout,30,2,27,3,3,4,70.54,0.219,open,1144.5,105.0
optimizer,burnout,30,2,29,1,1,4,9.21,0.184,open,883.92,87.0
low_energy,burnout,30,2,10,20,6,4,0,0.4,returning,91.6,10.0
adversarial,burnout,30,2,21,9,5,4,72.57,0.2,returning,1165.5,105.0
perfect,potential,30,2,30,0,0,4,1.62,0.217,open,600.0,60.0
cautious,potential,30,2,15,15,8,1,0,0.4,returning,140.4,15.0
balanced,potential,30,2,22,8,6,4,0.52,0.25,returning,431.2,44.0
chaotic,potential,30,2,14,16,9,2,2.0,0.262,returning,435.12,42.0
high_skip,potential,30,2,9,21,4,1,0,0.556,returning,84.96,9.0
returning,potential,30,2,18,12,6,3,0,0.25,returning,347.04,36.0
overload,potential,30,2,29,1,1,4,75.35,0.214,overloaded,1220.8,112.0
optimizer,potential,30,2,27,3,3,4,3.13,0.198,open,822.96,81.0
low_energy,potential,30,2,13,17,8,4,0,0.308,returning,119.08,13.0
adversarial,potential,30,2,19,11,7,2,68.73,0.204,returning,1032.3,93.0
perfect,return,30,2,30,0,0,4,1.62,0.25,open,600.0,60.0
cautious,return,30,2,19,11,9,4,0,0.263,returning,177.84,19.0
balanced,return,30,2,23,7,5,4,0.52,0.196,returning,450.8,46.0
chaotic,return,30,2,15,15,7,3,0,0.289,returning,466.2,45.0
high_skip,return,30,2,8,22,6,0,0,0.5,returning,75.52,8.0
returning,return,30,2,23,7,6,4,0.58,0.239,returning,443.44,46.0
overload,return,30,2,28,2,2,4,72.09,0.207,overloaded,1209.9,111.0
optimizer,return,30,2,28,2,2,4,3.13,0.19,open,853.44,84.0
low_energy,return,30,2,12,18,7,6,0,0.333,returning,109.92,12.0
adversarial,return,30,2,22,8,7,4,68.97,0.217,returning,1176.6,106.0
perfect,lost,90,2,90,0,0,12,4.87,0.194,open,1800.0,180.0
cautious,lost,90,2,62,28,21,8,0,0.258,returning,580.32,62.0
balanced,lost,90,2,66,24,16,7,0,0.205,returning,1293.6,132.0
chaotic,lost,90,2,39,51,22,9,5.8,0.222,returning,1212.12,117.0
high_skip,lost,90,2,26,64,18,1,0,0.231,returning,245.44,26.0
returning,lost,90,2,50,40,24,7,0,0.2,returning,964.0,100.0
overload,lost,90,2,80,10,10,19,76.85,0.191,returning,3139.2,288.0
optimizer,lost,90,2,84,6,6,12,4.06,0.19,sustainable,2560.32,252.0
low_energy,lost,90,2,48,42,23,15,0,0.229,returning,439.68,48.0
adversarial,lost,90,2,56,34,21,16,67.52,0.187,sustainable,2908.2,262.0
perfect,burnout,90,2,90,0,0,12,4.87,0.211,open,1800.0,180.0
cautious,burnout,90,2,62,28,19,9,0,0.258,returning,580.32,62.0
balanced,burnout,90,2,68,22,18,11,1.04,0.191,returning,1332.8,136.0
chaotic,burnout,90,2,54,36,21,9,10.0,0.241,returning,1678.32,162.0
high_skip,burnout,90,2,21,69,13,2,0,0.381,returning,198.24,21.0
returning,burnout,90,2,50,40,23,8,0.29,0.22,returning,964.0,100.0
overload,burnout,90,2,81,9,8,21,69.34,0.198,sustainable,3193.7,293.0
optimizer,burnout,90,2,83,7,6,12,9.4,0.193,sustainable,2529.84,249.0
low_energy,burnout,90,2,40,50,22,12,0,0.225,returning,366.4,40.0
adversarial,burnout,90,2,66,24,13,23,72.47,0.232,returning,3396.6,306.0
perfect,potential,90,2,89,1,1,12,4.87,0.191,sustainable,1780.0,178.0
cautious,potential,90,2,55,35,21,5,0,0.273,returning,514.8,55.0
balanced,potential,90,2,61,29,21,10,1.57,0.213,returning,1195.6,122.0
chaotic,potential,90,2,48,42,21,5,5.8,0.215,sustainable,1491.84,144.0
high_skip,potential,90,2,15,75,13,2,0,0.333,returning,141.6,15.0
returning,potential,90,2,52,38,24,6,0.58,0.24,returning,1002.56,104.0
